Time, X, Y
1729962386290, 805, 433
1729962386402, 805, 433
1729962386504, 805, 433
1729962386618, 805, 433
1729962386720, 805, 433
1729962386835, 766, 425
1729962386937, 713, 417
1729962387050, 668, 412
1729962387155, 622, 400
1729962387266, 568, 379
1729962387370, 530, 361
1729962387484, 502, 340
1729962387587, 467, 308
1729962387689, 427, 275
1729962387803, 381, 237
1729962387916, 349, 215
1729962388018, 322, 201
1729962388131, 298, 188
1729962388234, 293, 186
1729962388348, 290, 190
1729962388451, 289, 227
1729962388564, 289, 241
1729962388669, 290, 270
1729962388781, 295, 304
1729962388887, 300, 345
1729962388996, 304, 368
1729962389104, 309, 412
1729962389213, 317, 467
1729962389319, 322, 508
1729962389428, 322, 549
1729962389536, 322, 586
1729962389639, 319, 638
1729962389752, 315, 660
1729962389861, 314, 663
1729962389969, 314, 663
1729962390080, 327, 663
1729962390185, 368, 659
1729962390293, 394, 655
1729962390399, 400, 655
1729962390507, 416, 654
1729962390617, 464, 650
1729962390717, 492, 649
1729962390819, 519, 647
1729962390928, 571, 645
1729962391036, 647, 645
1729962391147, 704, 641
1729962391254, 762, 642
1729962391360, 814, 642
1729962391469, 871, 639
1729962391578, 953, 637
1729962391686, 995, 635
1729962391792, 1110, 632
1729962391900, 1187, 631
1729962392006, 1223, 629
1729962392118, 1279, 627
1729962392222, 1281, 626
1729962392335, 1281, 626
1729962392437, 1268, 604
1729962392552, 1239, 551
1729962392656, 1206, 499
1729962392771, 1182, 465
1729962392886, 1143, 425
1729962392998, 1106, 384
1729962393104, 1071, 345
1729962393216, 1031, 295
1729962393320, 999, 243
1729962393432, 972, 185
1729962393535, 961, 154
1729962393636, 958, 147
1729962393745, 956, 141
1729962393851, 956, 141
1729962393952, 946, 152
1729962394067, 922, 186
1729962394170, 910, 209
1729962394283, 897, 231
1729962394386, 886, 256
1729962394500, 871, 286
1729962394604, 860, 308
1729962394716, 847, 338
1729962394819, 835, 368
1729962394931, 826, 391
1729962395035, 816, 411
1729962395151, 806, 429
1729962395251, 804, 431
1729962395352, 804, 431
1729962395453, 804, 431
